sample,region
smp_SRS016916,stool
smp_SRS016924,mouth
smp_SRS016928,mouth
smp_SRS016930,mouth
smp_SRS016932,mouth
smp_SRS016934,mouth
smp_SRS016936,mouth
smp_SRS016938,mouth
smp_SRS016940,mouth
smp_SRS016942,mouth
smp_SRS016944,ear
smp_SRS016950,arm
smp_SRS016954,stool
smp_SRS016974,mouth
smp_SRS016984,arm
smp_SRS016990,stool
smp_SRS017002,mouth
smp_SRS017008,mouth
smp_SRS017011,mouth
smp_SRS017014,mouth
smp_SRS017017,mouth
smp_SRS017020,mouth
smp_SRS017023,mouth
smp_SRS017026,mouth
smp_SRS017029,mouth
smp_SRS017032,ear
smp_SRS017035,ear
smp_SRS017044,nose
smp_SRS017072,mouth
smp_SRS017076,mouth
smp_SRS017078,mouth
smp_SRS017080,mouth
smp_SRS017082,mouth
smp_SRS017084,mouth
smp_SRS017086,mouth
smp_SRS017088,mouth
smp_SRS017090,mouth
smp_SRS017092,ear
smp_SRS017094,ear
smp_SRS017096,arm
smp_SRS017098,arm
smp_SRS017100,nose
smp_SRS017103,stool
smp_SRS017115,mouth
smp_SRS017121,mouth
smp_SRS017124,mouth
smp_SRS017127,mouth
smp_SRS017130,mouth
smp_SRS017133,mouth
smp_SRS017136,mouth
smp_SRS017139,mouth
smp_SRS017142,mouth
smp_SRS017145,ear
smp_SRS017148,ear
smp_SRS017151,arm
smp_SRS017154,arm
smp_SRS017157,nose
smp_SRS017189,arm
smp_SRS017191,stool
smp_SRS017203,mouth
smp_SRS017209,mouth
smp_SRS017212,mouth
smp_SRS017215,mouth
smp_SRS017218,mouth
smp_SRS017221,mouth
smp_SRS017224,mouth
smp_SRS017227,mouth
smp_SRS017230,mouth
smp_SRS017233,ear
smp_SRS017236,ear
smp_SRS017245,nose
smp_SRS017266,stool
smp_SRS017274,mouth
smp_SRS017278,mouth
smp_SRS017280,mouth
smp_SRS017282,mouth
smp_SRS017284,mouth
smp_SRS017286,mouth
smp_SRS017288,mouth
smp_SRS017290,mouth
smp_SRS017292,mouth
smp_SRS017294,ear
smp_SRS017296,ear
smp_SRS017302,nose
smp_SRS017304,mouth
smp_SRS017307,stool
smp_SRS017345,mouth
smp_SRS017349,mouth
smp_SRS017351,mouth
smp_SRS017353,mouth
smp_SRS017355,mouth
smp_SRS017357,mouth
smp_SRS017359,mouth
smp_SRS017361,mouth
smp_SRS017363,mouth
smp_SRS017365,ear
smp_SRS017367,ear
smp_SRS017369,arm
smp_SRS017371,arm
smp_SRS017373,nose
smp_SRS017394,stool
