sample,region
smp_SRS046216,stool
smp_SRS015389,stool
smp_SRS011300,stool
smp_SRS055727,stool
srp_SRS064848,stool
srp_SRS146764,stool
smp_SRS012191,stool
srp_SRS102951,stool
srp_SRS098156,stool
srp_SRS077324,stool
smp_SRS042387,stool
srp_SRS104656,stool
smp_SRS045627,stool
smp_SRS016203,stool
smp_SRS054928,stool
smp_SRS021175,stool
srp_SRS075800,stool
smp_SRS022093,stool
smp_SRS065628,stool
smp_SRS046341,stool
smp_SRS048838,stool
srp_SRS078008,stool
smp_SRS015663,stool
smp_SRS055137,stool
smp_SRS022735,stool
srp_SRS149038,stool
smp_SRS014978,stool
smp_SRS048008,stool
srp_SRS143723,stool
smp_SRS017191,stool
smp_SRS024388,stool
srp_SRS142712,stool
smp_SRS021910,stool
smp_SRS043411,stool
srp_SRS074689,stool
srp_SRS018968,stool
srp_SRS143000,stool
srp_SRS143933,stool
smp_SRS015599,stool
smp_SRS023242,stool
smp_SRS053956,stool
srp_SRS098806,stool
smp_SRS063138,stool
srp_SRS075360,stool
srp_SRS147766,stool
smp_SRS015281,stool
smp_SRS017455,stool
smp_SRS021541,stool
smp_SRS020983,stool
smp_SRS063324,stool
smp_SRS021065,stool
smp_SRS058416,stool
srp_SRS103669,stool
smp_SRS065665,stool
srp_SRS147394,stool
smp_SRS050141,stool
smp_SRS024151,stool
srp_SRS149907,stool
smp_SRS016517,stool
smp_SRS011405,stool
srp_SRS078687,stool
srp_SRS100214,stool
smp_SRS018250,stool
smp_SRS049620,stool
srp_SRS149405,stool
srp_SRS076008,stool
smp_SRS019013,stool
smp_SRS017821,stool
smp_SRS018427,stool
smp_SRS064008,stool
smp_SRS057676,stool
srp_SRS100433,stool
smp_SRS063214,stool
smp_SRS016267,stool
smp_SRS055934,stool
srp_SRS077813,stool
smp_SRS016335,stool
srp_SRS149840,stool
srp_SRS077003,stool
smp_SRS016916,stool
smp_SRS017878,stool
srp_SRS148891,stool
smp_SRS047642,stool
srp_SRS104053,stool
smp_SRS043299,stool
srp_SRS102606,stool
smp_SRS011157,stool
smp_SRS054590,stool
srp_SRS104485,stool
smp_SRS024682,stool
srp_SRS103507,stool
smp_SRS019582,stool
srp_SRS064594,stool
srp_SRS142730,stool
smp_SRS017394,stool
srp_SRS079178,stool
smp_SRS023545,stool
smp_SRS063968,stool
smp_SRS021970,stool
smp_SRS016990,stool
srp_SRS147139,stool
srp_SRS077868,stool
srp_SRS100835,stool
smp_SRS021241,stool
smp_SRS064647,stool
smp_SRS049157,stool
smp_SRS011529,stool
srp_SRS147292,stool
srp_SRS147940,stool
srp_SRS078886,stool
smp_SRS011413,stool
smp_SRS018133,stool
smp_SRS048722,stool
srp_SRS143990,stool
srp_SRS077118,stool
srp_SRS078264,stool
srp_SRS063315,stool
srp_SRS102126,stool
srp_SRS100765,stool
smp_SRS018817,stool
smp_SRS051892,stool
smp_SRS023914,stool
smp_SRS057258,stool
srp_SRS143342,stool
smp_SRS023365,stool
smp_SRS052697,stool
smp_SRS016954,stool
srp_SRS100929,stool
smp_SRS024511,stool
srp_SRS075097,stool
smp_SRS021790,stool
smp_SRS049911,stool
srp_SRS146233,stool
srp_SRS078561,stool
smp_SRS064276,stool
smp_SRS063524,stool
smp_SRS022858,stool
smp_SRS017764,stool
srp_SRS104359,stool
srp_SRS145453,stool
srp_SRS147862,stool
srp_SRS146635,stool
srp_SRS076773,stool
srp_SRS149276,stool
smp_SRS016630,stool
smp_SRS021484,stool
smp_SRS049823,stool
smp_SRS065466,stool
srp_SRS144775,stool
smp_SRS054488,stool
srp_SRS145006,stool
srp_SRS077194,stool
smp_SRS015911,stool
smp_SRS019381,stool
srp_SRS149180,stool
smp_SRS018559,stool
smp_SRS011586,stool
smp_SRS020119,stool
smp_SRS022225,stool
srp_SRS078621,stool
srp_SRS100532,stool
smp_SRS042572,stool
srp_SRS149955,stool
smp_SRS014287,stool
smp_SRS052433,stool
smp_SRS017701,stool
srp_SRS104770,stool
srp_SRS104444,stool
smp_SRS055563,stool
smp_SRS018190,stool
smp_SRS063068,stool
srp_SRS104005,stool
srp_SRS148837,stool
smp_SRS062464,stool
smp_SRS021304,stool
srp_SRS147784,stool
smp_SRS056255,stool
smp_SRS011271,stool
smp_SRS019910,stool
smp_SRS019787,stool
srp_SRS141131,stool
smp_SRS064321,stool
srp_SRS101911,stool
smp_SRS052471,stool
srp_SRS140496,stool
smp_SRS045607,stool
smp_SRS045613,stool
smp_SRS019534,stool
srp_SRS143876,stool
smp_SRS052196,stool
smp_SRS042843,stool
srp_SRS076908,stool
srp_SRS100699,stool
srp_SRS098368,stool
smp_SRS024208,stool
srp_SRS145603,stool
srp_SRS144362,stool
